timestamp_s,dest
0.002953,96526180
0.002955,96526180
0.002959,96526180
0.002960,96526180
0.002962,96526180
0.002969,96526180
0.002970,96526180
0.002971,96526180
0.002972,96526180
0.002973,96526180
0.002979,96526180
0.002981,96526180
0.002984,96526180
0.002987,96526180
0.002993,96526180
0.002994,96526180
0.002994,96526180
0.002995,96526180
0.002995,96526180
0.004407,5351311
0.011287,21377650
0.011290,21377650
0.011293,21377650
0.011295,21377650
0.011307,21377650
0.011307,21377650
0.011309,21377650
0.011310,21377650
0.011311,21377650
0.011311,21377650
0.011315,21377650
0.011317,21377650
0.011321,21377650
0.011322,21377650
0.011322,21377650
0.011331,21377650
0.011332,21377650
0.011335,21377650
0.011338,21377650
0.011345,21377650
0.011347,21377650
0.011348,21377650
0.011351,21377650
0.011351,21377650
0.011363,21377650
0.011369,21377650
0.011372,21377650
0.011375,21377650
0.011382,21377650
0.011383,21377650
0.011388,21377650
0.011389,21377650
0.011390,21377650
0.011394,21377650
0.011394,21377650
0.011395,21377650
0.011397,21377650
0.011400,21377650
0.011401,21377650
0.011402,21377650
0.011402,21377650
0.011408,21377650
0.011410,21377650
0.011411,21377650
0.011415,21377650
0.011416,21377650
0.011416,21377650
0.011418,21377650
0.011420,21377650
0.011421,21377650
0.012194,66953722
0.012195,66953722
0.012197,66953722
0.012202,66953722
0.012205,66953722
0.012206,66953722
0.012208,66953722
0.012211,66953722
0.012214,66953722
0.012229,66953722
0.012233,66953722
0.012234,66953722
0.012237,66953722
0.012240,66953722
0.012254,66953722
0.012255,66953722
0.012255,66953722
0.012257,66953722
0.012257,66953722
0.012258,66953722
0.012260,66953722
0.012261,66953722
0.012262,66953722
0.012263,66953722
0.012265,66953722
0.012268,66953722
0.012269,66953722
0.012274,66953722
0.012276,66953722
0.012285,66953722
0.012288,66953722
0.012292,66953722
0.012294,66953722
0.012296,66953722
0.012299,66953722
0.012299,66953722
0.012299,66953722
0.012300,66953722
0.012304,66953722
0.012310,66953722
0.012314,66953722
0.012314,66953722
0.012317,66953722
0.012318,66953722
0.012318,66953722
0.012325,66953722
0.012326,66953722
0.012328,66953722
0.012329,66953722
0.012329,66953722
0.012332,66953722
0.012332,66953722
0.012337,66953722
0.012342,66953722
0.012346,66953722
0.012352,66953722
0.012353,66953722
0.012359,66953722
0.012361,66953722
0.012361,66953722
0.012363,66953722
0.012366,66953722
0.012367,66953722
0.012371,66953722
0.012373,66953722
0.012381,66953722
0.012385,66953722
0.012386,66953722
0.012392,66953722
0.012394,66953722
0.012395,66953722
0.012396,66953722
0.012409,66953722
0.012410,66953722
0.012410,66953722
0.012410,66953722
0.012411,66953722
0.012411,66953722
0.012413,66953722
0.012414,66953722
0.012414,66953722
0.012414,66953722
0.012419,66953722
0.012421,66953722
0.012422,66953722
0.012426,66953722
0.012433,66953722
0.012433,66953722
0.012435,66953722
0.012441,66953722
0.012442,66953722
0.012451,66953722
0.012451,66953722
0.012457,66953722
0.012458,66953722
0.012865,675
0.012884,675
0.012900,675
0.012951,675
0.013011,675
0.013039,675
0.013059,675
0.013127,675
0.013197,675
0.013246,675
0.013262,675
0.013266,675
0.013296,675
0.013343,675
0.013418,675
0.013451,675
