timestamp_s,dest
0.008115,688
0.008122,688
0.008153,688
0.008198,688
0.008201,688
0.008207,688
0.008253,688
0.008256,688
0.008285,688
0.008301,688
0.008310,688
0.008347,688
0.008406,688
0.008436,688
0.008449,688
0.008477,688
0.008487,322
0.008495,322
0.008520,322
0.008545,688
0.008553,322
0.008568,688
0.008610,688
0.008614,322
0.008632,688
0.008642,322
0.008649,688
0.008654,322
0.008661,688
0.008686,322
0.008689,322
0.008706,688
0.008712,688
0.008729,322
0.008730,688
0.008732,322
0.008738,322
0.008747,322
0.008755,688
0.008778,322
0.008792,688
0.008800,688
0.008816,94086824
0.008817,94086824
0.008819,94086824
0.008827,94086824
0.008827,94086824
0.008830,322
0.008830,688
0.008831,94086824
0.008831,94086824
0.008835,94086824
0.008835,94086824
0.008836,94086824
0.008841,94086824
0.008842,94086824
0.008843,94086824
0.008846,94086824
0.008850,94086824
0.008852,94086824
0.008854,322
0.008855,94086824
0.008857,322
0.008857,322
0.008859,94086824
0.008859,94086824
0.008860,94086824
0.008861,94086824
0.008864,94086824
0.008868,94086824
0.008871,94086824
0.008871,94086824
0.008872,94086824
0.008874,94086824
0.008875,94086824
0.008877,94086824
0.008878,688
0.008880,94086824
0.008884,94086824
0.008885,94086824
0.008888,94086824
0.008888,94086824
0.008888,94086824
0.008895,94086824
0.008896,688
0.008897,688
0.008898,94086824
0.008899,94086824
0.008910,94086824
0.008911,94086824
0.008912,322
0.008917,94086824
0.008919,94086824
0.008924,94086824
0.008924,94086824
0.008924,94086824
0.008927,688
0.008927,94086824
0.008928,94086824
0.008932,94086824
0.008933,688
0.008934,688
0.008934,94086824
0.008939,94086824
0.008965,688
0.008989,322
0.008992,688
0.009003,322
0.009035,322
0.009045,688
0.009048,688
0.009049,688
0.009050,322
0.009052,322
0.009057,322
0.009087,322
0.009088,688
0.009124,322
0.009129,322
0.009131,322
0.009144,322
0.009184,688
0.009193,688
0.009210,322
0.009215,688
0.009217,322
0.009218,322
0.009219,322
0.009220,688
0.009226,688
0.009227,322
0.009228,322
0.009273,322
0.009323,322
0.009327,322
0.009362,322
0.009367,322
0.009370,688
0.009371,688
0.009375,322
0.009381,322
0.009408,688
0.009409,688
0.009414,688
0.009434,688
0.009434,688
0.009438,322
0.009463,688
0.009489,322
0.009508,688
0.009540,688
0.009564,688
0.009571,322
0.009627,688
0.009630,322
0.009650,322
0.009694,688
0.009710,322
0.009713,688
0.009740,322
0.009747,322
0.009791,688
0.009798,322
0.009801,688
0.009808,688
0.009811,322
0.009817,322
0.009822,322
0.009866,688
0.009891,688
0.009978,688
0.009980,322
0.010002,688
0.010039,322
0.010047,322
0.010057,322
0.010139,322
0.010185,322
0.010208,322
0.010240,688
0.010241,322
0.010252,688
0.010262,322
0.010270,322
0.010278,322
0.010370,322
0.010404,688
0.010414,688
0.010416,322
0.010446,322
0.010453,688
0.010455,322
0.010477,322
0.010479,688
0.010507,322
0.010558,322
0.010572,322
0.010578,688
0.010590,88564808
0.010592,688
0.010592,88564808
0.010595,88564808
0.010595,88564808
0.010595,88564808
0.010599,88564808
0.010600,88564808
0.010604,88564808
0.010605,88564808
0.010606,88564808
0.010613,88564808
0.010613,88564808
0.010616,88564808
0.010617,88564808
0.010622,88564808
0.010625,88564808
0.010625,88564808
0.010626,88564808
0.010626,88564808
0.010627,88564808
0.010630,88564808
0.010630,688
0.010633,88564808
0.010634,88564808
0.010636,88564808
0.010637,88564808
0.010641,88564808
0.010642,88564808
0.010643,322
0.010643,88564808
0.010645,88564808
0.010647,688
0.010648,88564808
0.010649,88564808
0.010650,88564808
0.010652,88564808
0.010654,88564808
0.010658,88564808
0.010658,322
0.010658,88564808
0.010659,88564808
0.010661,88564808
0.010665,88564808
0.010666,88564808
0.010666,88564808
0.010668,88564808
0.010668,88564808
0.010669,88564808
0.010672,88564808
0.010672,88564808
