timestamp_s,dest
0.014516,5108267
0.014523,5108267
0.014527,5108267
0.014530,5108267
0.014530,5108267
0.014536,5108267
0.014537,5108267
0.014537,5108267
0.014549,5108267
0.014553,5108267
0.014553,5108267
0.014556,5108267
0.014558,5108267
0.014559,5108267
0.014561,5108267
0.014563,5108267
0.014569,5108267
0.014571,5108267
0.014573,5108267
0.014573,5108267
0.014574,5108267
0.014576,5108267
0.014578,5108267
0.014581,5108267
0.014585,5108267
0.015277,17030276
0.015280,17030276
0.015281,17030276
0.015281,17030276
0.015283,17030276
0.015285,17030276
0.015286,17030276
0.015289,17030276
0.015290,17030276
0.015291,17030276
0.015292,17030276
0.015293,17030276
0.015294,17030276
0.015295,17030276
0.015298,17030276
0.015303,17030276
0.015309,17030276
0.015311,17030276
0.015315,17030276
0.015315,17030276
0.015316,17030276
0.015318,17030276
0.015320,17030276
0.015321,17030276
0.015321,17030276
0.015322,17030276
0.015322,17030276
0.015324,17030276
0.015326,17030276
0.015328,17030276
0.015330,17030276
0.015330,17030276
0.015332,17030276
0.015332,17030276
0.015333,17030276
0.018207,1319117
0.018208,1319117
0.018210,1319117
0.018211,1319117
0.018215,1319117
0.018215,1319117
0.018217,1319117
0.018229,1319117
0.018229,1319117
0.018230,1319117
0.018239,1319117
0.018242,1319117
0.018249,1319117
0.018251,1319117
0.018253,1319117
0.018253,1319117
0.018262,1319117
0.018268,1319117
0.018270,1319117
0.018272,1319117
0.018275,1319117
0.018275,1319117
0.018279,1319117
0.018286,1319117
0.018291,1319117
0.018292,1319117
0.018293,1319117
0.018296,1319117
0.018298,1319117
0.018301,1319117
0.018303,1319117
0.018304,1319117
0.018307,1319117
0.018308,1319117
0.018308,1319117
0.018316,1319117
0.018318,1319117
0.018318,1319117
0.018322,1319117
0.018324,1319117
0.018326,1319117
0.018330,1319117
0.018331,1319117
0.018331,1319117
0.018335,1319117
0.018335,1319117
0.018335,1319117
0.018342,1319117
0.018343,1319117
0.018345,1319117
0.018351,1319117
0.018351,1319117
0.018351,1319117
0.018352,1319117
0.018355,1319117
0.018357,1319117
0.018368,1319117
0.018368,1319117
0.018371,1319117
0.018372,1319117
0.018378,1319117
0.018380,1319117
0.018380,1319117
0.018380,1319117
0.018382,1319117
0.018383,1319117
0.018383,1319117
0.018388,1319117
0.018397,1319117
0.018404,1319117
0.018408,1319117
0.018408,1319117
0.018412,1319117
0.018414,1319117
0.018414,1319117
0.018416,1319117
0.018417,1319117
0.018419,1319117
0.018421,1319117
0.018421,1319117
0.018421,1319117
0.018422,1319117
0.018428,1319117
0.018428,1319117
0.018434,1319117
0.018435,1319117
0.018439,1319117
0.018442,1319117
0.018449,1319117
0.018450,1319117
0.018452,1319117
0.018454,1319117
0.018456,1319117
0.018456,1319117
0.018460,1319117
0.018460,1319117
0.018465,1319117
0.018466,1319117
0.018473,1319117
0.018474,1319117
0.018481,1319117
0.018487,1319117
0.018489,1319117
0.018491,1319117
0.018492,1319117
0.018498,1319117
0.018507,1319117
0.018507,1319117
0.018509,1319117
0.018511,1319117
0.018513,1319117
0.018518,1319117
0.018518,1319117
0.018525,1319117
0.018532,1319117
0.018532,1319117
0.018544,1319117
0.018546,1319117
0.018548,1319117
0.018549,1319117
0.018549,1319117
0.018551,1319117
0.018552,1319117
0.018556,1319117
0.018562,1319117
0.018565,1319117
0.018567,1319117
0.018567,1319117
0.018569,1319117
0.018571,1319117
0.018573,1319117
0.018574,1319117
0.018574,1319117
0.018575,1319117
0.018575,1319117
0.018575,1319117
0.018576,1319117
0.018580,1319117
0.018582,1319117
0.018583,1319117
0.018585,1319117
0.018585,1319117
0.018588,1319117
0.018593,1319117
0.018594,1319117
0.018597,1319117
0.018603,1319117
0.018605,1319117
0.018606,1319117
0.018609,1319117
0.018611,1319117
0.018615,1319117
0.018620,1319117
0.018621,1319117
0.018624,1319117
0.018625,1319117
0.018637,1319117
0.018641,1319117
0.018641,1319117
0.018642,1319117
0.018648,1319117
0.018653,1319117
0.018657,1319117
0.018659,1319117
0.018665,1319117
0.018666,1319117
0.018670,1319117
0.018674,1319117
0.018678,1319117
0.018680,1319117
0.018681,1319117
0.018684,1319117
0.018684,1319117
0.018686,1319117
0.018687,1319117
0.018688,1319117
0.018688,1319117
0.018690,1319117
0.018698,1319117
0.018709,1319117
0.018710,1319117
0.018714,1319117
0.018718,1319117
0.018719,1319117
0.018721,1319117
0.018729,1319117
0.018734,1319117
0.018736,1319117
0.018736,1319117
0.018757,1319117
0.018758,1319117
0.018760,1319117
0.018765,1319117
0.018766,1319117
0.018766,1319117
0.018767,1319117
0.018769,1319117
0.018777,1319117
0.018777,1319117
0.018778,1319117
0.018782,1319117
0.018785,1319117
0.018787,1319117
0.018787,1319117
0.018788,1319117
0.018790,1319117
0.018799,1319117
0.018800,1319117
0.018801,1319117
0.018803,1319117
0.018804,1319117
0.018805,1319117
0.018816,1319117
0.018817,1319117
0.018821,1319117
0.018828,1319117
0.018830,1319117
0.018832,1319117
0.018834,1319117
0.018836,1319117
0.018837,1319117
0.018839,1319117
0.018846,1319117
0.018860,1319117
0.018863,1319117
0.018863,1319117
0.018863,1319117
0.018864,1319117
0.018866,1319117
0.018872,1319117
0.018875,1319117
0.018879,1319117
0.018884,1319117
0.018888,1319117
0.018892,1319117
0.018895,1319117
0.018902,1319117
0.018904,1319117
0.018909,1319117
0.018910,1319117
0.018910,1319117
0.018917,1319117
0.018918,1319117
0.018918,1319117
0.018918,1319117
0.018918,1319117
0.018918,1319117
0.018920,1319117
0.018922,1319117
0.018930,1319117
0.018945,1319117
0.018951,1319117
0.018952,1319117
0.018957,1319117
0.018959,1319117
0.018966,1319117
0.018967,1319117
0.018973,1319117
0.018973,1319117
0.018975,1319117
0.018976,1319117
0.018979,1319117
0.018980,1319117
0.018983,1319117
0.018987,1319117
0.018988,1319117
0.018991,1319117
0.018996,1319117
0.019000,1319117
0.019001,1319117
0.019002,1319117
0.019004,1319117
0.019004,1319117
0.019007,1319117
0.019007,1319117
0.019007,1319117
0.019012,1319117
0.019016,1319117
0.019017,1319117
0.019022,1319117
0.019023,1319117
0.019025,1319117
0.019028,1319117
0.019034,1319117
0.019039,1319117
0.019044,1319117
0.019054,1319117
0.019054,1319117
0.019055,1319117
0.019057,1319117
0.019061,1319117
0.019061,1319117
0.019069,1319117
0.019073,1319117
0.019074,1319117
0.019076,1319117
0.019077,1319117
0.019081,1319117
0.019083,1319117
0.019085,1319117
0.019089,1319117
0.019089,1319117
0.019092,1319117
0.019093,1319117
0.019094,1319117
0.019105,1319117
0.019106,1319117
0.019106,1319117
0.019111,1319117
0.019115,1319117
0.019121,1319117
0.019123,1319117
0.019124,1319117
0.019124,1319117
0.019126,1319117
0.019126,1319117
0.019126,1319117
0.019127,1319117
0.019132,1319117
0.019134,1319117
0.019141,1319117
0.019147,1319117
0.019148,1319117
0.019148,1319117
0.019149,1319117
0.019156,1319117
0.019156,1319117
0.019159,1319117
0.019162,1319117
0.019173,1319117
0.019181,1319117
0.019193,1319117
0.019202,1319117
0.019203,1319117
0.019203,1319117
0.019204,1319117
0.019207,1319117
0.019210,1319117
0.019210,1319117
0.019216,1319117
0.019225,1319117
0.019225,1319117
0.019229,1319117
0.019230,1319117
0.019230,1319117
0.019233,1319117
0.019242,1319117
0.019242,1319117
0.019249,1319117
0.019251,1319117
0.019252,1319117
0.019253,1319117
0.019253,1319117
0.019255,1319117
0.019258,1319117
0.019264,1319117
0.019272,1319117
0.019273,1319117
0.019274,1319117
0.019275,1319117
0.019280,1319117
0.019286,1319117
0.019286,1319117
0.019290,1319117
0.019290,1319117
0.019292,1319117
0.019296,1319117
0.019301,1319117
0.019303,1319117
0.019306,1319117
0.019311,1319117
0.019314,1319117
0.019322,1319117
0.019322,1319117
0.019326,1319117
0.019327,1319117
0.019327,1319117
0.019329,1319117
0.019333,1319117
0.019333,1319117
0.019334,1319117
0.019337,1319117
0.019337,1319117
0.019339,1319117
0.019339,1319117
0.019343,1319117
0.019344,1319117
0.019344,1319117
0.019346,1319117
0.019351,1319117
0.019354,1319117
0.019354,1319117
0.019368,1319117
0.019368,1319117
0.019369,1319117
0.019371,1319117
0.019373,1319117
0.019376,1319117
0.019377,1319117
0.019379,1319117
0.019381,1319117
0.019382,1319117
0.019383,1319117
0.019383,1319117
0.019384,1319117
0.019385,1319117
0.019388,1319117
0.019390,1319117
0.019393,1319117
0.019394,1319117
0.019406,1319117
0.019416,1319117
0.019417,1319117
